id	strand	start coding	end coding	hgnc	ec	aktivita enzymu
uc002loi.3	-	281387	291336	PPAP2C	EC:3	hydrolase activity
uc002loj.3	-	281387	288055	PPAP2C	EC:3	hydrolase activity
uc002lou.3	+	507506	519423	TPGS1	EC:6	ligase activity
uc002lov.3	+	531931	541552	CDC34	EC:6	ligase activity
uc002low.2	+	544071	549791	GZMM	EC:3	hydrolase activity
uc031rit.1	+	547341	549791	GZMM	EC:3	hydrolase activity
uc002lpf.1	-	617273	633512	POLRMT	EC:2	transferase activity
uc002lpl.1	-	685715	695430	PRSS57	EC:3	hydrolase activity
uc010xfs.1	-	685715	695430	n/a	EC:3	hydrolase activity
uc002lpx.2	-	812569	821559	n/a	EC:3	hydrolase activity
uc002lpy.2	-	812569	814607	n/a	EC:3	hydrolase activity
uc002lpz.1	+	827846	831877	AZU1	EC:3	hydrolase activity
uc002lqa.1	+	841008	847969	PRTN3	EC:3	hydrolase activity
uc021umb.1	+	843522	847969	PRTN3	EC:3	hydrolase activity
uc002lqb.3	+	852328	856164	ELANE	EC:3	hydrolase activity
uc002lqc.3	+	859689	863238	CFD	EC:3	hydrolase activity
uc002lqw.4	+	1041360	1065424	ABCA7	EC:3	hydrolase activity
uc002lqy.3	+	1056906	1065424	n/a	EC:3	hydrolase activity
uc002lre.4	-	1089484	1095314	POLR2E	EC:2	transferase activity
uc021umf.1	+	1104042	1106639	GPX4	EC:1	oxidoreductase activity
uc021umg.1	+	1104042	1106571	GPX4	EC:1	oxidoreductase activity
uc021umh.1	+	1104733	1106571	GPX4	EC:1	oxidoreductase activity
uc002lrl.1	+	1206912	1226646	STK11	EC:2	transferase activity
uc002lrn.3	+	1241849	1244436	ATP5D	EC:3	hydrolase activity
uc002lro.3	+	1241849	1244436	ATP5D	EC:3	hydrolase activity
uc002lsf.2	+	1383733	1393406	n/a	EC:1	oxidoreductase activity
uc002lsh.3	+	1383733	1394421	n/a	EC:1	oxidoreductase activity
uc002lsg.2	+	1388688	1393406	n/a	EC:1	oxidoreductase activity
uc002lse.4	+	1383925	1395487	NDUFS7	EC:1	oxidoreductase activity
uc002lsj.4	-	1397357	1401475	GAMT	EC:2	transferase activity
uc002ltb.1	-	1481757	1490345	PCSK4	EC:3	hydrolase activity
uc002lta.2	-	1482199	1488003	n/a	EC:3	hydrolase activity
uc031riu.1	-	1482352	1488003	PCSK4	EC:3	hydrolase activity
uc010dsl.2	-	1506013	1507399	ADAMTSL5	EC:3	hydrolase activity
uc002ltd.2	-	1506013	1510942	ADAMTSL5	EC:3	hydrolase activity
uc002ltf.3	+	1526995	1535249	PLK5	EC:2	transferase activity
uc002ltg.1	+	1526995	1535249	PLK5	EC:2	transferase activity
uc002ltm.3	-	1599438	1605408	UQCR11	EC:1	oxidoreductase activity
uc002ltw.4	-	1783026	1811735	ATP8B3	EC:3	hydrolase activity
uc002lty.1	-	1799649	1805951	n/a	EC:3	hydrolase activity
uc002ltz.2	-	1799649	1811576	n/a	EC:3	hydrolase activity
uc002lua.4	-	1816064	1848357	REXO1	EC:3	hydrolase activity
uc002lud.3	-	1877359	1881565	ABHD17A	EC:3	hydrolase activity
uc002lug.3	-	1877198	1881565	ABHD17A	EC:3	hydrolase activity
uc002luh.4	+	1912046	1913150	n/a	EC:3	hydrolase activity
uc021umn.2	+	1912046	1913150	n/a	EC:3	hydrolase activity
uc002lul.4	+	1969771	1980202	CSNK1G2	EC:2	transferase activity
uc010dsu.3	+	1976070	1980202	CSNK1G2	EC:2	transferase activity
uc002luq.1	-	2037737	2042015	n/a	EC:2	transferase activity
uc010xgu.1	-	2039611	2043132	MKNK2	EC:2	transferase activity
uc010xgv.1	-	2039611	2043527	MKNK2	EC:2	transferase activity
uc002lus.2	-	2039611	2050850	MKNK2	EC:2	transferase activity
uc002lut.1	-	2040936	2042015	n/a	EC:2	transferase activity
uc002lvc.1	+	2216474	2228346	DOT1L	EC:2	transferase activity
uc002lvs.3	+	2328708	2353207	SPPL2B	EC:3	hydrolase activity
uc010xgx.2	+	2389783	2426086	TMPRSS9	EC:3	hydrolase activity
uc002lwj.3	+	2785660	2813274	THOP1	EC:3	hydrolase activity
uc010xgz.2	+	2796063	2813274	THOP1	EC:3	hydrolase activity
uc002lwk.3	+	2810313	2813274	n/a	EC:3	hydrolase activity
uc002lxi.3	+	3186028	3207686	NCLN	EC:3	hydrolase activity
uc002lxs.3	-	3491489	3496812	DOHH	EC:1	oxidoreductase activity
uc010xhl.2	-	3491489	3496812	DOHH	EC:1	oxidoreductase activity
uc002lyj.2	-	3633164	3700388	PIP5K1C	EC:2	transferase activity
uc010xhq.2	-	3633164	3700388	PIP5K1C	EC:2	transferase activity
uc002lyt.3	-	3778180	3785133	MATK	EC:2	transferase activity
uc002lyu.3	-	3778180	3784831	MATK	EC:2	transferase activity
uc010dtq.3	-	3778180	3785133	MATK	EC:2	transferase activity
uc002lyz.4	+	3933669	3942271	NMRK2	EC:2	transferase activity
uc010xia.2	+	3933669	3942271	n/a	EC:2	transferase activity
uc002lzc.1	-	3959098	3969733	DAPK3	EC:2	transferase activity
uc002lzd.1	-	3959098	3969733	DAPK3	EC:2	transferase activity
uc002lzg.3	+	4007758	4037873	PIAS4	EC:6	ligase activity
uc002lzj.3	-	4090595	4101236	MAP2K2	EC:2	transferase activity
uc002lzk.3	-	4090595	4123872	MAP2K2	EC:2	transferase activity
uc002lzo.3	-	4174613	4182536	SIRT6	EC:2	transferase activity
uc002lzp.3	-	4174894	4182536	n/a	EC:2	transferase activity
uc010xid.2	-	4174613	4179261	SIRT6	EC:2	transferase activity
uc002mae.3	+	4343590	4359999	MPND	EC:3	hydrolase activity
uc002mbo.3	+	4910897	4960814	UHRF1	EC:6	ligase activity
uc002mbp.3	+	4910858	4960814	UHRF1	EC:6	ligase activity
uc002mbq.4	+	5032901	5151522	KDM4B	EC:1	oxidoreductase activity
uc002mbr.4	+	5077427	5151522	KDM4B	EC:1	oxidoreductase activity
uc002mbu.1	-	5159109	5286151	n/a	EC:3	hydrolase activity
uc002mbv.3	-	5206784	5286151	PTPRS	EC:3	hydrolase activity
uc002mck.4	+	5684843	5688206	HSD11B1L	EC:1	oxidoreductase activity
uc002mcq.4	+	5686996	5688206	HSD11B1L	EC:1	oxidoreductase activity
uc031riz.1	-	5692042	5719801	n/a	EC:3	hydrolase activity
uc002mcy.3	-	5692042	5720143	n/a	EC:3	hydrolase activity
uc031rja.1	-	5692042	5720154	n/a	EC:3	hydrolase activity
uc002mcx.4	-	5692042	5720143	LONP1	EC:3	hydrolase activity
uc010duh.4	-	5692042	5711874	LONP1	EC:3	hydrolase activity
uc002mcz.3	-	5692042	5713194	LONP1	EC:3	hydrolase activity
uc002mdc.3	-	5785213	5791152	DUS3L	EC:1	oxidoreductase activity
uc002mdf.1	-	5831498	5832578	FUT6	EC:2	transferase activity
uc021unl.1	-	5831498	5832578	FUT6	EC:2	transferase activity
uc002mdg.1	-	5831498	5832578	FUT6	EC:2	transferase activity
uc002mdh.1	-	5831498	5832578	FUT6	EC:2	transferase activity
uc021unm.1	-	5831498	5832578	FUT6	EC:2	transferase activity
uc002mdk.2	-	5843764	5844850	FUT3	EC:2	transferase activity
uc002mdm.2	-	5843764	5844850	FUT3	EC:2	transferase activity
uc002mdj.2	-	5843764	5844850	FUT3	EC:2	transferase activity
uc002mdl.2	-	5843764	5844850	FUT3	EC:2	transferase activity
uc021unn.1	-	5843764	5844850	n/a	EC:2	transferase activity
uc002mdo.4	-	5866611	5867736	FUT5	EC:2	transferase activity
uc010duo.3	-	5866611	5867736	FUT5	EC:2	transferase activity
uc021uno.1	-	5866611	5867736	FUT5	EC:2	transferase activity
uc002mee.1	+	6161279	6190668	ACSBG2	EC:6	ligase activity
uc002mef.1	+	6141554	6190668	ACSBG2	EC:6	ligase activity
uc002meg.1	+	6141554	6190668	ACSBG2	EC:6	ligase activity
uc002meh.1	+	6141554	6190668	ACSBG2	EC:6	ligase activity
uc002mei.1	+	6147539	6190668	ACSBG2	EC:6	ligase activity
uc002mel.2	-	6306724	6333562	ACER1	EC:3	hydrolase activity
